,xfix,yfix,fixdur,fixnum,t0,t1,s0,s1,item,phase,xfix_raw,yfix_raw
70670,8.676558015267009,424.16230763358703,118.9033015,1,2.52985e-05,0.11892860000000001,1,131,6421,Target,8.676558015267009,424.16230763358703
70671,305.765734756096,428.432017378049,293.4764,2,0.1579046,0.45138100000000003,175,502,6421,Target,305.765734756096,428.432017378049
70672,357.98544444444394,432.644811111111,7.12480000000004,3,0.46995370000000003,0.47707849999999996,523,531,6421,Target,357.98544444444394,432.644811111111
70673,360.97055882353,431.45255245098,181.51239999999999,4,0.4797059,0.6612183,534,737,6421,Target,360.97055882353,431.45255245098
70674,352.876752688173,358.623582580645,410.36709999999994,5,0.6896679,1.100035,769,1233,6421,Target,352.876752688173,358.623582580645
70675,330.668348096886,404.917571626297,329.26079999999996,2,0.1514979,0.48075870000000004,139,427,6421,Prob,330.668348096886,404.917571626297
70676,278.48626122448997,330.652626938776,271.49640000000005,3,0.5120087999999999,0.7835052,456,700,6421,Prob,278.48626122448997,330.652626938776
70677,231.307586956522,323.85587826087004,21.315438680000003,1,2.602132e-05,0.02134146,1,23,6422,Target,231.307586956522,323.85587826087004
70678,240.762502768165,344.116021453287,256.10290000000003,2,0.0301916,0.2862945,33,321,6422,Target,240.762502768165,344.116021453287
70679,335.058167286246,352.01543903345805,238.11020000000002,3,0.3109183,0.5490285,349,617,6422,Target,335.058167286246,352.01543903345805
70680,269.064910839161,338.574481818182,275.98429999999996,4,0.5711119,0.8470962,642,927,6422,Target,269.064910839161,338.574481818182
70681,407.522721568627,329.932729411764,225.8386,5,0.8744074000000001,1.1002459999999998,958,1212,6422,Target,407.522721568627,329.932729411764
70682,372.768870652173,406.55798858695704,199.91997670000003,1,0.0009100233,0.20083,1,184,6422,Prob,372.768870652173,406.55798858695704
70683,277.922126485148,313.90421732673303,439.42879999999997,2,0.22655789999999998,0.6659866999999999,208,611,6422,Prob,277.922126485148,313.90421732673303
70684,421.53197967479696,336.24030365853696,265.9292,3,0.6919585,0.9578877,635,880,6422,Prob,421.53197967479696,336.24030365853696
70685,312.523078985507,375.641973913043,166.7621,4,0.9871899,1.153952,907,1044,6422,Prob,312.523078985507,375.641973913043
70686,336.60627999999997,437.17746862069,314.909,5,1.178313,1.4932219999999998,1066,1355,6422,Prob,336.60627999999997,437.17746862069
70687,352.61661686747004,466.442582530121,178.16400000000002,6,1.509531,1.6876950000000002,1370,1535,6422,Prob,352.61661686747004,466.442582530121
70688,363.22863430657003,377.021627737226,148.537,7,1.712673,1.8612099999999998,1558,1694,6422,Prob,363.22863430657003,377.021627737226
70689,580.682532278481,328.512202531646,140.30256994,1,2.3130059999999998e-05,0.1403257,1,158,6423,Target,580.682532278481,328.512202531646
70690,368.600481775701,373.884884579439,191.67120000000003,2,0.1728575,0.36452870000000004,195,408,6423,Target,368.600481775701,373.884884579439
70691,310.58202130718996,460.528251633987,710.6123000000001,3,0.3899797,1.100592,437,1201,6423,Target,310.58202130718996,460.528251633987
70692,116.512756910569,364.26114552845496,133.7369169,1,0.0004065831,0.1341435,1,123,6423,Prob,116.512756910569,364.26114552845496
70693,332.647715328467,376.981247931874,445.5406,2,0.1686261,0.6141667,155,565,6423,Prob,332.647715328467,376.981247931874
70694,266.040268525896,416.093588844622,234.93020149999998,1,2.52985e-05,0.23495549999999998,1,251,6424,Target,266.040268525896,416.093588844622
70695,334.714131289638,337.65718414376204,840.9851,2,0.2596769,1.100662,279,1224,6424,Target,334.714131289638,337.65718414376204
70696,333.673914193548,195.698555483871,167.0094892,1,0.0005421108,0.1675516,1,155,6424,Prob,333.673914193548,195.698555483871
70697,288.96718010204,309.212330102041,211.3596,2,0.198732,0.4100916,184,379,6424,Prob,288.96718010204,309.212330102041
70698,252.303345273632,323.093110447761,218.9795,3,0.4294085,0.648388,397,597,6424,Prob,252.303345273632,323.093110447761
70699,365.3600126353799,463.802193862816,299.2712,4,0.6894522,0.9887234,635,911,6424,Prob,365.3600126353799,463.802193862816
70700,278.514187989555,333.988488772845,343.6259,2,0.1687483,0.5123742,190,572,6425,Target,278.514187989555,333.988488772845
70701,399.16533333333297,322.81735,5.317000000000021,3,0.5373319000000001,0.5426489000000001,600,605,6425,Target,399.16533333333297,322.81735
70702,405.152883064515,317.638453225806,222.2394,4,0.5444856,0.766725,607,854,6425,Target,405.152883064515,317.638453225806
70703,360.839,306.434677777778,7.1869000000000005,5,0.7863238,0.7935107,876,884,6425,Target,360.839,306.434677777778
70704,360.42892128280096,311.28141137026296,305.4246,6,0.7952784,1.100703,886,1228,6425,Target,360.42892128280096,311.28141137026296
70705,556.097026400001,275.12940239999995,156.3020775,1,0.0006581225,0.15696020000000002,1,125,6425,Prob,556.097026400001,275.12940239999995
70706,334.945088317758,308.09922943925204,233.80010000000001,2,0.17679720000000002,0.4105973,143,356,6425,Prob,334.945088317758,308.09922943925204
70707,230.62752745097998,316.105785434174,386.66020000000003,3,0.4374509,0.8241110999999999,381,737,6425,Prob,230.62752745097998,316.105785434174
70708,360.730366094421,387.062539914163,205.90920000000003,2,0.15963429999999998,0.3655435,181,413,6426,Target,360.730366094421,387.062539914163
70709,328.009660726072,474.322607260726,292.22880000000004,3,0.392859,0.6850878,444,746,6426,Target,328.009660726072,474.322607260726
70710,337.749846153846,386.364098601399,381.9783,4,0.7188836999999999,1.100862,784,1212,6426,Target,337.749846153846,386.364098601399
70711,151.94346229508199,304.033350819672,133.07843599999998,1,0.0012851639999999999,0.1343636,1,122,6426,Prob,151.94346229508199,304.033350819672
70712,345.370426940642,343.238470091325,477.87609999999995,2,0.1652253,0.6431014,150,587,6426,Prob,345.370426940642,343.238470091325
70713,427.83591324200796,316.2392,251.10250000000002,3,0.6701115,0.921214,612,830,6426,Prob,427.83591324200796,316.2392
70714,310.81616666666696,353.636566666667,5.4052,4,0.9484178,0.953823,855,860,6426,Prob,310.81616666666696,353.636566666667
70715,299.9305,351.580253448276,190.0272,5,0.9581328000000001,1.14816,864,1037,6426,Prob,299.9305,351.580253448276
70716,342.3214,376.44057999999995,4.3080000000002,6,1.167574,1.1718819999999999,1055,1059,6426,Prob,342.3214,376.44057999999995
70717,344.528287804878,374.63446536585406,228.902,7,1.179438,1.40834,1066,1270,6426,Prob,344.528287804878,374.63446536585406
70718,17.3678856209151,293.195058823529,135.85874009000003,1,2.565991e-05,0.13588440000000002,1,153,6427,Target,17.3678856209151,293.195058823529
70719,294.08242400000097,293.39282799999995,221.5058,2,0.1720269,0.3935327,194,443,6427,Target,294.08242400000097,293.39282799999995
70720,392.250869426751,319.756015286624,276.847,3,0.41898729999999995,0.6958343000000001,471,784,6427,Target,392.250869426751,319.756015286624
70721,364.90151174935,383.02140156657896,362.9446,4,0.7272044,1.090149,819,1201,6427,Target,364.90151174935,383.02140156657896
70722,365.742003381642,315.686140096618,226.59720000000002,2,0.170285,0.3968822,156,362,6427,Prob,365.742003381642,315.686140096618
70723,277.801800292398,314.75478508772005,371.6498,3,0.4223564,0.7940062,385,726,6427,Prob,277.801800292398,314.75478508772005
70724,365.144980745342,431.910174534161,191.3366,4,0.8286984000000001,1.020035,758,918,6427,Prob,365.144980745342,431.910174534161
70725,561.740335810811,346.034204729729,132.03105416,1,2.2045839999999998e-05,0.1320531,1,148,6428,Target,561.740335810811,346.034204729729
70726,338.77166315789503,417.45924254386,201.5395,2,0.16602139999999999,0.3675609,186,413,6428,Target,338.77166315789503,417.45924254386
70727,292.093613125,344.70324750000003,141.99220000000003,3,0.4000283,0.5420205,450,609,6428,Target,292.093613125,344.70324750000003
70728,362.556142702702,316.288996216216,163.655,4,0.57086,0.7345149999999999,642,826,6428,Target,362.556142702702,316.288996216216
70729,412.011914248705,306.053525906735,342.2499,5,0.7582641,1.100514,853,1238,6428,Target,412.011914248705,306.053525906735
70730,94.108800970874,344.04219611650495,122.61895210000002,1,0.0005670479,0.12318599999999999,1,103,6428,Prob,94.108800970874,344.04219611650495
70731,363.467690677966,386.734042372882,257.6248,2,0.159133,0.41675779999999996,136,371,6428,Prob,363.467690677966,386.734042372882
70732,399.46029375,334.521663,871.1184999999999,3,0.4416335,1.3127520000000001,394,1193,6428,Prob,399.46029375,334.521663
70733,13.9929743589746,225.837490384615,137.61343135,1,2.2768649999999998e-05,0.13763620000000001,1,156,6429,Target,13.9929743589746,225.837490384615
70734,343.474142512075,323.566321497584,378.15920000000006,2,0.1736442,0.5518034,197,610,6429,Target,343.474142512075,323.566321497584
70735,351.70349792531,431.16922697095396,213.8963,3,0.5799215999999999,0.7938179,642,882,6429,Target,351.70349792531,431.16922697095396
